"tables"
"(orders-db,pg_catalog,pg_parameter_acl,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,pg_catalog,pg_partitioned_table,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,pg_catalog,pg_range,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,pg_catalog,pg_transform,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,pg_catalog,pg_sequence,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,pg_catalog,pg_publication,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,pg_catalog,pg_publication_namespace,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,pg_catalog,pg_publication_rel,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,pg_catalog,pg_subscription_rel,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,information_schema,sql_features,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,information_schema,sql_implementation_info,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,information_schema,sql_parts,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,information_schema,sql_sizing,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,public,my_store_overviews_2,""BASE TABLE"",,,,,,YES,NO,)"
"(orders-db,public,forquerying2,""BASE TABLE"",,,,,,YES,NO,)"
